country,total_arrivals,best_year,best_year_arrivals,r_temp_gap,p_temp_gap,r_turkey_temp,p_turkey_temp,r_source_temp,p_source_temp,r_inflation,p_inflation,season_share_jun_sep,h4_verdict,h3_verdict,rank_total,rank_seasonality,rank_escape_cold,rank_inflation_sensitivity
Germany,63164124,2015,10431357,0.055705268156124005,0.5687492091805282,0.8509524122793471,3.950788235757358e-31,0.8406094289875629,1.0088388897778901e-29,0.03530423548612815,2.268031320469179e-05,0.5520981023974939,No clear country-level support,Mixed / not significant,1,6,3,7
Russia,61924023,2017,8379434,0.38072633701052916,0.06644241090296008,0.6021982370836928,0.0018475279458719032,0.5809815901306971,0.002910066132104342,-0.11716216555914416,0.25816562818253297,0.6137343337657504,No clear country-level support,Mixed / not significant,2,2,7,2
Iran,27902582,2017,4622096,0.40524683471873363,1.4914687881305156e-05,0.38471519131878323,4.287656204731037e-05,0.42650407487532305,4.633312386348277e-06,0.25227452913413523,0.01364987217217399,0.4140402848739948,Summer-season pattern,"Supported, positive",5,8,8,1
Bulgaria,29327134,2015,3477796,0.32070775434833987,0.0007574758218621148,0.5158213041686216,1.3003686918904958e-08,0.5193985185717432,9.906404449943168e-09,0.09851796024312652,4.007433433547591e-30,0.38852950990710516,Summer-season pattern,Mixed / not significant,4,10,5,3
United Kingdom,32882106,2015,4768475,-0.7230726526570754,6.556930304318872e-05,0.9028403233889167,1.5919785328177386e-09,0.8576252377121261,8.560549494247363e-08,-0.021608459513674672,0.18294164626300727,0.601237007143034,Escape-the-cold signal,Mixed / not significant,3,4,1,9
Georgia,23032016,2017,4429231,0.3617743326881169,0.0001287696674077531,0.568691734078919,1.6572909156149633e-10,0.5662109305138809,2.0695622197472426e-10,-0.09092246016493719,0.38087366469166123,0.4029251716393389,Summer-season pattern,Mixed / not significant,6,9,6,4
Netherlands,13634646,2015,2346990,-0.483021260128055,1.3691163057025377e-07,0.7922242289196217,2.923596030142402e-24,0.8003738716444051,4.494944171379112e-25,0.030458287654036055,0.0005308445921456096,0.5568784110713252,Escape-the-cold signal,Mixed / not significant,7,5,2,8
Iraq,12583758,2015,2085013,,,,,,,0.07423513717002027,0.47463166324133615,0.488806285054115,No clear country-level support,Mixed / not significant,8,7,99,6
Saudi Arabia,6657907,2017,1227215,,,,,,,0.07595346687297128,0.5289918236174695,0.6028286366871751,No clear country-level support,Mixed / not significant,10,3,99,5
Poland,10629310,2025,1914958,0.24719749280654174,0.010259268418753922,0.7075380278918444,1.6021015090766538e-17,0.7067681574475486,1.798060214846488e-17,0.011060885958756395,0.18593286223328934,0.685955061993676,Summer-season pattern,Mixed / not significant,9,1,4,10
