freq,statinfo,unit,currency,year,month,exchange_rate
M,AVG,NAC,ALL,2015,1,140.04
M,AVG,NAC,ALL,2015,2,140.23
M,AVG,NAC,ALL,2015,3,140.41
M,AVG,NAC,ALL,2015,4,140.26
M,AVG,NAC,ALL,2015,5,140.82
M,AVG,NAC,ALL,2015,6,140.82
M,AVG,NAC,ALL,2015,7,139.85
M,AVG,NAC,ALL,2015,8,139.59
M,AVG,NAC,ALL,2015,9,139.52
M,AVG,NAC,ALL,2015,10,139.53
M,AVG,NAC,ALL,2015,11,138.18
M,AVG,NAC,ALL,2015,12,137.65
M,AVG,NAC,ALL,2016,1,138.35
M,AVG,NAC,ALL,2016,2,138.33
M,AVG,NAC,ALL,2016,3,138.22
M,AVG,NAC,ALL,2016,4,138.51
M,AVG,NAC,ALL,2016,5,138.32
M,AVG,NAC,ALL,2016,6,137.92
M,AVG,NAC,ALL,2016,7,136.57
M,AVG,NAC,ALL,2016,8,136.51
M,AVG,NAC,ALL,2016,9,137.34
M,AVG,NAC,ALL,2016,10,136.85
M,AVG,NAC,ALL,2016,11,136.18
M,AVG,NAC,ALL,2016,12,135.27
M,AVG,NAC,ALL,2017,1,136.57
M,AVG,NAC,ALL,2017,2,135.59
M,AVG,NAC,ALL,2017,3,135.38
M,AVG,NAC,ALL,2017,4,135.42
M,AVG,NAC,ALL,2017,5,134.58
M,AVG,NAC,ALL,2017,6,133.21
M,AVG,NAC,ALL,2017,7,132.57
M,AVG,NAC,ALL,2017,8,132.53
M,AVG,NAC,ALL,2017,9,133.55
M,AVG,NAC,ALL,2017,10,133.66
M,AVG,NAC,ALL,2017,11,133.49
M,AVG,NAC,ALL,2017,12,133.25
M,AVG,NAC,ALL,2018,1,133.57
M,AVG,NAC,ALL,2018,2,132.72
M,AVG,NAC,ALL,2018,3,131.27
M,AVG,NAC,ALL,2018,4,129.28
M,AVG,NAC,ALL,2018,5,126.98
M,AVG,NAC,ALL,2018,6,125.95
M,AVG,NAC,ALL,2018,7,125.86
M,AVG,NAC,ALL,2018,8,125.66
M,AVG,NAC,ALL,2018,9,126.47
M,AVG,NAC,ALL,2018,10,125.21
M,AVG,NAC,ALL,2018,11,124.62
M,AVG,NAC,ALL,2018,12,123.45
M,AVG,NAC,ALL,2019,1,124.39
M,AVG,NAC,ALL,2019,2,124.56
M,AVG,NAC,ALL,2019,3,124.99
M,AVG,NAC,ALL,2019,4,124.34
M,AVG,NAC,ALL,2019,5,122.99
M,AVG,NAC,ALL,2019,6,122.0
M,AVG,NAC,ALL,2019,7,121.95
M,AVG,NAC,ALL,2019,8,121.26
M,AVG,NAC,ALL,2019,9,121.61
M,AVG,NAC,ALL,2019,10,123.11
M,AVG,NAC,ALL,2019,11,122.8
M,AVG,NAC,ALL,2019,12,122.17
M,AVG,NAC,ALL,2020,1,122.08
M,AVG,NAC,ALL,2020,2,122.13
M,AVG,NAC,ALL,2020,3,124.31
M,AVG,NAC,ALL,2020,4,125.4
M,AVG,NAC,ALL,2020,5,123.91
M,AVG,NAC,ALL,2020,6,124.22
M,AVG,NAC,ALL,2020,7,124.02
M,AVG,NAC,ALL,2020,8,123.8
M,AVG,NAC,ALL,2020,9,124.02
M,AVG,NAC,ALL,2020,10,123.97682
M,AVG,NAC,ALL,2020,11,123.78
M,AVG,NAC,ALL,2020,12,123.55
M,AVG,NAC,ALL,2021,1,123.53
M,AVG,NAC,ALL,2021,2,123.61
M,AVG,NAC,ALL,2021,3,123.33571
M,AVG,NAC,ALL,2021,4,123.1
M,AVG,NAC,ALL,2021,5,123.01
M,AVG,NAC,ALL,2021,6,122.83
M,AVG,NAC,ALL,2021,7,122.32
M,AVG,NAC,ALL,2021,8,121.55
M,AVG,NAC,ALL,2021,9,121.59
M,AVG,NAC,ALL,2021,10,121.71
M,AVG,NAC,ALL,2021,11,122.13
M,AVG,NAC,ALL,2021,12,120.81
M,AVG,NAC,ALL,2022,1,121.49
M,AVG,NAC,ALL,2022,2,121.32
M,AVG,NAC,ALL,2022,3,122.96
M,AVG,NAC,ALL,2022,4,121.0
M,AVG,NAC,ALL,2022,5,120.47
M,AVG,NAC,ALL,2022,6,119.8
M,AVG,NAC,ALL,2022,7,117.47
M,AVG,NAC,ALL,2022,8,116.97
M,AVG,NAC,ALL,2022,9,116.99
M,AVG,NAC,ALL,2022,10,117.25
M,AVG,NAC,ALL,2022,11,117.12
M,AVG,NAC,ALL,2022,12,114.93
M,AVG,NAC,ALL,2023,1,116.39
M,AVG,NAC,ALL,2023,2,115.72
M,AVG,NAC,ALL,2023,3,114.35
M,AVG,NAC,ALL,2023,4,112.38
M,AVG,NAC,ALL,2023,5,111.1
M,AVG,NAC,ALL,2023,6,107.26
M,AVG,NAC,ALL,2023,7,103.24
M,AVG,NAC,ALL,2023,8,105.67
M,AVG,NAC,ALL,2023,9,106.85
M,AVG,NAC,ALL,2023,10,105.77
M,AVG,NAC,ALL,2023,11,104.09
M,AVG,NAC,ALL,2023,12,102.78
M,AVG,NAC,ALL,2024,1,103.91
M,AVG,NAC,ALL,2024,2,103.91
M,AVG,NAC,ALL,2024,3,103.57
M,AVG,NAC,ALL,2024,4,101.48
M,AVG,NAC,ALL,2024,5,100.52
M,AVG,NAC,ALL,2024,6,100.35
M,AVG,NAC,ALL,2024,7,100.31
M,AVG,NAC,ALL,2024,8,99.97
M,AVG,NAC,ALL,2024,9,99.35
M,AVG,NAC,ALL,2024,10,98.68
M,AVG,NAC,ALL,2024,11,98.21
M,AVG,NAC,ALL,2024,12,98.3
M,AVG,NAC,ALL,2025,1,98.51
M,AVG,NAC,ALL,2025,2,99.03
M,AVG,NAC,ALL,2025,3,99.23
M,AVG,NAC,ALL,2025,4,98.71
M,AVG,NAC,ALL,2025,5,98.21
M,AVG,NAC,ALL,2025,6,98.07
M,AVG,NAC,ALL,2025,7,97.72
M,AVG,NAC,ALL,2025,8,97.29
M,AVG,NAC,ALL,2025,9,97.07
M,AVG,NAC,ALL,2025,10,96.74
M,AVG,NAC,ALL,2025,11,96.66
M,AVG,NAC,ALL,2025,12,96.54
M,AVG,NAC,AUD,2015,1,1.439
M,AVG,NAC,AUD,2015,2,1.4568
M,AVG,NAC,AUD,2015,3,1.4008
M,AVG,NAC,AUD,2015,4,1.3939
M,AVG,NAC,AUD,2015,5,1.4123
M,AVG,NAC,AUD,2015,6,1.453
M,AVG,NAC,AUD,2015,7,1.4844
M,AVG,NAC,AUD,2015,8,1.5269
