year,month,foreigners,source
2015,1,1250941,tourism_2017_12.xls
2015,2,1383343,tourism_2017_12.xls
2015,3,1895940,tourism_2017_12.xls
2015,4,2437263,tourism_2017_12.xls
2015,5,3804158,tourism_2017_12.xls
2015,6,4123109,tourism_2017_12.xls
2015,7,5480502,tourism_2017_12.xls
2015,8,5130967,tourism_2017_12.xls
2015,9,4251870,tourism_2017_12.xls
2015,10,3301194,tourism_2017_12.xls
2015,11,1720554,tourism_2017_12.xls
2015,12,1464791,tourism_2017_12.xls
2016,1,1170333,tourism_2017_12.xls
2016,2,1240633,tourism_2017_12.xls
2016,3,1652511,tourism_2017_12.xls
2016,4,1753045,tourism_2017_12.xls
2016,5,2485411,tourism_2017_12.xls
2016,6,2438293,tourism_2017_12.xls
2016,7,3468202,tourism_2017_12.xls
2016,8,3183003,tourism_2017_12.xls
2016,9,2855397,tourism_2017_12.xls
2016,10,2449948,tourism_2017_12.xls
2016,11,1353280,tourism_2017_12.xls
2016,12,1302157,tourism_2017_12.xls
2017,1,1055474,tourism_2019_12.xls
2017,2,1159833,tourism_2019_12.xls
2017,3,1587007,tourism_2019_12.xls
2017,4,2070322,tourism_2019_12.xls
2017,5,2889873,tourism_2019_12.xls
2017,6,3486940,tourism_2019_12.xls
2017,7,5075961,tourism_2019_12.xls
2017,8,4658463,tourism_2019_12.xls
2017,9,4076630,tourism_2019_12.xls
2017,10,2992947,tourism_2019_12.xls
2017,11,1652795,tourism_2019_12.xls
2017,12,1703789,tourism_2019_12.xls
2018,1,1461570,tourism_2020_12.xls
2018,2,1527070,tourism_2020_12.xls
2018,3,2139766,tourism_2020_12.xls
2018,4,2655561,tourism_2020_12.xls
2018,5,3678440,tourism_2020_12.xls
2018,6,4505594,tourism_2020_12.xls
2018,7,5671801,tourism_2020_12.xls
2018,8,5383332,tourism_2020_12.xls
2018,9,4792818,tourism_2020_12.xls
2018,10,3755467,tourism_2020_12.xls
2018,11,1966277,tourism_2020_12.xls
2018,12,1950705,tourism_2020_12.xls
2019,1,1539496,tourism_2021_12.xls
2019,2,1670238,tourism_2021_12.xls
2019,3,2232358,tourism_2021_12.xls
2019,4,3293176,tourism_2021_12.xls
2019,5,4022254,tourism_2021_12.xls
2019,6,5318984,tourism_2021_12.xls
2019,7,6617380,tourism_2021_12.xls
2019,8,6307508,tourism_2021_12.xls
2019,9,5426818,tourism_2021_12.xls
2019,10,4291574,tourism_2021_12.xls
2019,11,2190622,tourism_2021_12.xls
2019,12,2147878,tourism_2021_12.xls
2020,1,1787435,tourism_2022_12.xlsx
2020,2,1733112,tourism_2022_12.xlsx
2020,3,718097,tourism_2022_12.xlsx
2020,4,24238,tourism_2022_12.xlsx
2020,5,29829,tourism_2022_12.xlsx
2020,6,214768,tourism_2022_12.xlsx
2020,7,932927,tourism_2022_12.xlsx
2020,8,1814701,tourism_2022_12.xlsx
2020,9,2203482,tourism_2022_12.xlsx
2020,10,1742303,tourism_2022_12.xlsx
2020,11,833991,tourism_2022_12.xlsx
2020,12,699330,tourism_2022_12.xlsx
2021,1,509787,tourism_2023_12.xlsx
2021,2,537976,tourism_2023_12.xlsx
2021,3,905323,tourism_2023_12.xlsx
2021,4,790687,tourism_2023_12.xlsx
2021,5,936282,tourism_2023_12.xlsx
2021,6,2047596,tourism_2023_12.xlsx
2021,7,4360952,tourism_2023_12.xlsx
2021,8,3982168,tourism_2023_12.xlsx
2021,9,3513453,tourism_2023_12.xlsx
2021,10,3471540,tourism_2023_12.xlsx
2021,11,1763982,tourism_2023_12.xlsx
2021,12,1892520,tourism_2023_12.xlsx
2022,1,1281666,tourism_2024_12.xlsx
2022,2,1541393,tourism_2024_12.xlsx
2022,3,2079565,tourism_2024_12.xlsx
2022,4,2574423,tourism_2024_12.xlsx
2022,5,3873212,tourism_2024_12.xlsx
2022,6,5014821,tourism_2024_12.xlsx
2022,7,6664970,tourism_2024_12.xlsx
2022,8,6304770,tourism_2024_12.xlsx
2022,9,5475453,tourism_2024_12.xlsx
2022,10,4803198,tourism_2024_12.xlsx
2022,11,2551483,tourism_2024_12.xlsx
2022,12,2399441,tourism_2024_12.xlsx
2023,1,2005967,tourism_2025_12.xlsx
2023,2,1870414,tourism_2025_12.xlsx
2023,3,2335728,tourism_2025_12.xlsx
2023,4,3321824,tourism_2025_12.xlsx
2023,5,4500242,tourism_2025_12.xlsx
2023,6,5584021,tourism_2025_12.xlsx
2023,7,7148044,tourism_2025_12.xlsx
2023,8,6660700,tourism_2025_12.xlsx
2023,9,5786027,tourism_2025_12.xlsx
2023,10,4987112,tourism_2025_12.xlsx
2023,11,2525345,tourism_2025_12.xlsx
2023,12,2483756,tourism_2025_12.xlsx
2024,1,2047027,tourism_2025_12.xlsx
2024,2,2294579,tourism_2025_12.xlsx
2024,3,2701244,tourism_2025_12.xlsx
2024,4,3611244,tourism_2025_12.xlsx
2024,5,5130119,tourism_2025_12.xlsx
2024,6,5860446,tourism_2025_12.xlsx
2024,7,7333812,tourism_2025_12.xlsx
2024,8,6825403,tourism_2025_12.xlsx
2024,9,6054431,tourism_2025_12.xlsx
2024,10,5448459,tourism_2025_12.xlsx
2024,11,2733663,tourism_2025_12.xlsx
2024,12,2588856,tourism_2025_12.xlsx
2025,1,2171118,tourism_2025_12.xlsx
2025,2,2171942,tourism_2025_12.xlsx
2025,3,2346403,tourism_2025_12.xlsx
2025,4,3900546,tourism_2025_12.xlsx
2025,5,5037447,tourism_2025_12.xlsx
2025,6,5772328,tourism_2025_12.xlsx
2025,7,7116096,tourism_2025_12.xlsx
2025,8,6965343,tourism_2025_12.xlsx
2025,9,6087374,tourism_2025_12.xlsx
2025,10,5683717,tourism_2025_12.xlsx
2025,11,2804705,tourism_2025_12.xlsx
2025,12,2718036,tourism_2025_12.xlsx
