year,month,turkey_inflation
2015,1,7.24
2015,2,7.55
2015,3,7.61
2015,4,7.91
2015,5,8.09
2015,6,7.2
2015,7,6.81
2015,8,7.14
2015,9,7.95
2015,10,7.58
2015,11,8.1
2015,12,8.81
2016,1,9.58
2016,2,8.78
2016,3,7.46
2016,4,6.57
2016,5,6.58
2016,6,7.64
2016,7,8.79
2016,8,8.05
2016,9,7.28
2016,10,7.16
2016,11,7.0
2016,12,8.53
2017,1,9.22
2017,2,10.13
2017,3,11.29
2017,4,11.87
2017,5,11.72
2017,6,10.9
2017,7,9.79
2017,8,10.68
2017,9,11.2
2017,10,11.9
2017,11,12.98
2017,12,11.92
2018,1,10.35
2018,2,10.26
2018,3,10.23
2018,4,10.85
2018,5,12.15
2018,6,15.39
2018,7,15.85
2018,8,17.9
2018,9,24.52
2018,10,25.24
2018,11,21.62
2018,12,20.3
2019,1,20.35
2019,2,19.67
2019,3,19.71
2019,4,19.5
2019,5,18.71
2019,6,15.72
2019,7,16.65
2019,8,15.01
2019,9,9.26
2019,10,8.55
2019,11,10.56
2019,12,11.84
2020,1,12.15
2020,2,12.37
2020,3,11.86
2020,4,10.94
2020,5,11.39
2020,6,12.62
2020,7,11.76
2020,8,11.77
2020,9,11.75
2020,10,11.89
2020,11,14.03
2020,12,14.6
2021,1,14.97
2021,2,15.61
2021,3,16.19
2021,4,17.14
2021,5,16.59
2021,6,17.53
2021,7,18.95
2021,8,19.25
2021,9,19.58
2021,10,19.89
2021,11,21.31
2021,12,36.08
2022,1,48.69
2022,2,54.44
2022,3,61.14
2022,4,69.97
2022,5,73.5
2022,6,78.62
2022,7,79.6
2022,8,80.21
2022,9,83.45
2022,10,85.51
2022,11,84.39
2022,12,64.27
2023,1,57.68
2023,2,55.18
2023,3,50.51
2023,4,43.68
2023,5,39.59
2023,6,38.21
2023,7,47.83
2023,8,58.94
2023,9,61.53
2023,10,61.36
2023,11,61.98
2023,12,64.77
2024,1,64.86
2024,2,67.07
2024,3,68.5
2024,4,69.8
2024,5,75.45
2024,6,71.6
2024,7,61.78
2024,8,51.97
2024,9,49.38
2024,10,48.58
2024,11,47.09
2024,12,44.38
2025,1,42.12
2025,2,39.05
2025,3,38.1
2025,4,37.86
2025,5,35.41
2025,6,35.05
2025,7,33.52
2025,8,32.95
2025,9,33.29
2025,10,32.87
2025,11,31.07
2025,12,30.89
