iso2,country_name,year,inflation_annual
AZ,Azerbaijan,2024,2.21
AZ,Azerbaijan,2023,8.79
AZ,Azerbaijan,2022,13.85
AZ,Azerbaijan,2021,6.65
AZ,Azerbaijan,2020,2.76
AZ,Azerbaijan,2019,2.61
AZ,Azerbaijan,2018,2.27
AZ,Azerbaijan,2017,12.94
AZ,Azerbaijan,2016,12.44
AZ,Azerbaijan,2015,4.03
GE,Georgia,2024,1.11
GE,Georgia,2023,2.49
GE,Georgia,2022,11.9
GE,Georgia,2021,9.57
GE,Georgia,2020,5.2
GE,Georgia,2019,4.85
GE,Georgia,2018,2.62
GE,Georgia,2017,6.04
GE,Georgia,2016,2.13
GE,Georgia,2015,4.0
IR,"Iran, Islamic Rep.",2024,32.46
IR,"Iran, Islamic Rep.",2023,44.58
IR,"Iran, Islamic Rep.",2022,43.49
IR,"Iran, Islamic Rep.",2021,43.39
IR,"Iran, Islamic Rep.",2020,30.59
IR,"Iran, Islamic Rep.",2019,39.91
IR,"Iran, Islamic Rep.",2018,18.01
IR,"Iran, Islamic Rep.",2017,8.04
IR,"Iran, Islamic Rep.",2016,7.25
IR,"Iran, Islamic Rep.",2015,12.48
IQ,Iraq,2024,-12.3
IQ,Iraq,2023,4.36
IQ,Iraq,2022,4.99
IQ,Iraq,2021,6.04
IQ,Iraq,2020,0.57
IQ,Iraq,2019,-0.2
IQ,Iraq,2018,0.37
IQ,Iraq,2017,0.18
IQ,Iraq,2016,0.56
IQ,Iraq,2015,1.39
RU,Russian Federation,2024,8.43
RU,Russian Federation,2023,5.87
RU,Russian Federation,2022,13.74
RU,Russian Federation,2021,6.69
RU,Russian Federation,2020,3.38
RU,Russian Federation,2019,4.47
RU,Russian Federation,2018,2.88
RU,Russian Federation,2017,3.68
RU,Russian Federation,2016,7.04
RU,Russian Federation,2015,15.53
SA,Saudi Arabia,2024,1.69
SA,Saudi Arabia,2023,2.33
SA,Saudi Arabia,2022,2.47
SA,Saudi Arabia,2021,3.06
SA,Saudi Arabia,2020,3.37
SA,Saudi Arabia,2019,-1.19
SA,Saudi Arabia,2018,2.47
SA,Saudi Arabia,2017,-0.83
SA,Saudi Arabia,2016,2.05
SA,Saudi Arabia,2015,1.22
UA,Ukraine,2024,6.5
UA,Ukraine,2023,12.85
UA,Ukraine,2022,20.18
UA,Ukraine,2021,9.36
UA,Ukraine,2020,2.73
UA,Ukraine,2019,7.89
UA,Ukraine,2018,10.95
UA,Ukraine,2017,14.44
UA,Ukraine,2016,13.91
UA,Ukraine,2015,48.7
